,bar_count,battery_level,bench_count,bike_score,bus_count,captive,city,clds,code,elevation,housing_units,id,land_area_in_sqmi,latitude,longitude,nest_id,park_count,parking_count,point,pop_density,population,precip,radius_in_miles,states,supermarket_count_1000m,temp,timestamp,uv_index,walk_score,water_area_in_sqmi,weekday,wspd,zip_code
10175,0,99,0,76,0,False,DC,OVC,,4.884261608123778,22753.0,117042eb-820e-456d-8047-919c795d8a70,4.61,38.867405,-76.98839500000003,ba4beb92-6a3c-4183-9f9b-245361965dfa,17,9,"(38.867405, -76.98839500000003)",10809.0,49864.0,,2.0,DC,1,18,2019-03-25 10:44:51.809996,2,81,0.15,0,7.0,20020
10176,0,100,0,76,0,False,DC,OVC,,4.945889949798584,22753.0,848b00ef-e9ef-479d-9ff3-ca1519fc3f54,4.61,38.867446666666666,-76.98832666666667,ba4beb92-6a3c-4183-9f9b-245361965dfa,17,9,"(38.867446666666666, -76.98832666666667)",10809.0,49864.0,,2.0,DC,1,18,2019-03-25 10:44:51.809996,2,81,0.15,0,7.0,20020
10177,1,47,0,84,0,False,DC,OVC,,80.93699645996094,18985.0,ef9e3b9e-891f-487d-bbe1-48b05d7601a0,2.34,38.887283333333336,-77.09533666666667,,19,0,"(38.887283333333336, -77.09533666666667)",14311.0,33476.0,,1.0,DC,3,18,2019-03-25 10:44:51.809996,2,97,0.0,0,7.0,22201
10178,0,54,0,91,0,False,DC,OVC,,17.60214614868164,13216.0,5e081d31-8aa4-4474-a824-a022d8ba02d0,2.24,38.88856166666667,-76.97711166666666,,18,5,"(38.88856166666667, -76.97711166666666)",11799.0,26454.0,,2.0,DC,2,18,2019-03-25 10:44:51.809996,2,58,0.26,0,7.0,20003
10179,1,88,0,84,0,False,DC,OVC,,80.9218521118164,18985.0,e936437d-1f0b-4560-a322-4ee9f4efe61b,2.34,38.88724833333333,-77.09539833333334,177884a3-2d96-455c-8b59-bdfb66e74891,19,0,"(38.88724833333333, -77.09539833333334)",14311.0,33476.0,,1.0,DC,3,18,2019-03-25 10:44:51.809996,2,97,0.0,0,7.0,22201
10180,0,90,0,91,0,False,DC,OVC,,17.68250274658203,13216.0,2748e10d-232e-459d-a587-11f55dc9d609,2.24,38.88850333333333,-76.97707333333331,,18,5,"(38.88850333333333, -76.97707333333331)",11799.0,26454.0,,2.0,DC,2,18,2019-03-25 10:44:51.809996,2,58,0.26,0,7.0,20003
10181,1,98,0,84,0,False,DC,OVC,,80.90494537353516,18985.0,d0961d74-66ba-453e-99ce-b8c45c3215f1,2.34,38.887245,-77.09542166666667,177884a3-2d96-455c-8b59-bdfb66e74891,19,0,"(38.887245, -77.09542166666667)",14311.0,33476.0,,1.0,DC,3,18,2019-03-25 10:44:51.809996,2,97,0.0,0,7.0,22201
10182,0,74,0,94,0,False,DC,OVC,,11.02896308898926,26166.0,9134227f-c997-4214-88d6-068f9bc1e34e,5.26,38.89767,-76.97652500000002,,17,8,"(38.89767, -76.97652500000002)",9961.0,52370.0,,2.0,DC,2,18,2019-03-25 10:44:51.809996,2,88,0.22,0,7.0,20002
10183,0,78,0,63,0,False,DC,OVC,,7.801855087280272,22753.0,b446ee95-6f8e-4b9f-a318-5fcd1dcda69f,4.61,38.866451666666656,-76.98908166666666,,16,12,"(38.866451666666656, -76.98908166666666)",10809.0,49864.0,,2.0,DC,1,18,2019-03-25 10:44:51.809996,2,84,0.15,0,7.0,20020
10184,0,48,0,79,0,False,DC,OVC,,11.50051689147949,15278.0,f92602ac-4e93-47f5-bdfa-1a024f9bb94a,3.87,38.85043333333333,-77.0538483333333,,8,0,"(38.85043333333333, -77.0538483333333)",5824.0,22543.0,,2.0,DC,3,18,2019-03-25 10:44:51.809996,2,86,0.09,0,7.0,22202
